d 24 d 35 d 47 d 61 d 77 d 95 d 114 d 135 d 157 d 181 
d 206 d 232 d 259 d 287 d 315 d 345 d 375 d 406 d 437 d 468 
d 500 d 531 d 562 d 593 d 624 d 654 d 684 d 712 d 740 d 767 
d 793 d 818 d 842 d 864 d 885 d 904 d 922 d 938 d 952 d 964 
d 975 d 984 d 991 d 996 d 999 d 1000 d 999 d 996 d 991 d 984 
d 975 d 964 d 952 d 938 d 922 d 904 d 885 d 864 d 842 d 818 
d 793 d 767 d 740 d 712 d 684 d 654 d 624 d 593 d 562 d 531 
d 499 d 468 d 437 d 406 d 375 d 345 d 315 d 287 d 259 d 232 
d 206 d 181 d 157 d 135 d 114 d 95 d 77 d 61 d 47 d 35 
d 24 d 15 d 8 d 3 d 0 d 0 d 0 d 3 d 8 d 15 
d 24 d 35 d 47 d 61 d 77 d 95 d 114 d 135 d 157 d 181 
d 206 d 232 d 259 d 287 d 315 d 345 d 375 d 406 d 437 d 468 
d 500 d 531 d 562 d 593 d 624 d 654 d 684 d 712 d 740 d 767 
d 793 d 818 d 842 d 864 d 885 d 904 d 922 d 938 d 952 d 964 
d 975 d 984 d 991 d 996 d 999 d 1000 d 999 d 996 d 991 d 984 
d 975 d 964 d 952 d 938 d 922 d 904 d 885 d 864 d 842 d 818 
d 793 d 767 d 740 d 712 d 684 d 654 d 624 d 593 d 562 d 531 
